# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
2.0400  -3.296551574516731e-01  1.142872031362889e+00  6.530782400357678e-01  2.145109619289480e+00
2.0500  -3.178109543738653e-01  1.225040930136329e+00  7.503626402546413e-01  1.993735151704682e+00
2.0600  -3.051734138359254e-01  1.301488088943794e+00  8.469356228312843e-01  1.838328554096315e+00
2.0700  -2.918012578741302e-01  1.371916459222655e+00  9.410773855430130e-01  1.680753639781700e+00
2.0800  -2.777560607401500e-01  1.436052834059111e+00  1.031123871104602e+00  1.522848954276308e+00
2.0900  -2.631020050155692e-01  1.493648925936896e+00  1.115493556976221e+00  1.366400639131251e+00
2.1000  -2.479056274373054e-01  1.544482346131733e+00  1.192712858756291e+00  1.213116505468926e+00
2.1100  -2.322355554371269e-01  1.588357481886356e+00  1.261439745132182e+00  1.064601720397873e+00
2.1200  -2.161622354351120e-01  1.625106267904351e+00  1.320485190991004e+00  9.223364818407028e-01
2.1300  -1.997576539594400e-01  1.654588849118120e+00  1.368832129813013e+00  7.876560237637329e-01
2.1400  -1.830950526932109e-01  1.676694132115385e+00  1.405651606335083e+00  6.617332548950113e-01
2.1500  -1.662486385729611e-01  1.691340223048047e+00  1.430315875050108e+00  5.455642903842680e-01
2.1600  -1.492932900830676e-01  1.698474750295233e+00  1.442408238695227e+00  4.399570881940147e-01
2.1700  -1.323042609052475e-01  1.698075070607191e+00  1.441729472708807e+00  3.455233510787660e-01
2.1800  -1.153568820927964e-01  1.690148357916496e+00  1.428300735883914e+00  2.626738016236682e-01
2.1900  -9.852626394503231e-02  1.674731574466175e+00  1.402362923256976e+00  1.916168828274496e-01
2.2000  -8.188699875859123e-02  1.651891324368701e+00  1.364372473762290e+00  1.323608810050969e-01
2.2100  -6.551286562876416e-02  1.621723590173891e+00  1.314993701463248e+00  8.471941224143166e-02
2.2200  -4.947653846596909e-02  1.584353353485384e+00  1.255087774350191e+00  4.832015913307264e-02
2.2300  -3.384929837976632e-02  1.539934101123016e+00  1.185698517900776e+00  2.261669198115606e-02
