# omega0=1, alpha=0.233
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
2.553398963730445e+01 2.326933291148206e-02 2.627464691352167e-01
2.562518245743768e+01 4.711971000284224e-02 2.601558648246531e-01
2.571637527757091e+01 7.068673896267824e-02 2.565361371884284e-01
2.580756809770414e+01 9.387772087246014e-02 2.519133015813875e-01
2.589876091783737e+01 1.166025424398699e-01 2.463179864471400e-01
2.598995373797060e+01 1.387740787203786e-01 2.397850318896894e-01
2.608114655810383e+01 1.603085573453331e-01 2.323530489059822e-01
2.617233937823706e+01 1.811258812345520e-01 2.240639517852350e-01
2.626353219837029e+01 2.011499079327211e-01 2.149624765524556e-01
2.635472501850352e+01 2.203086848808948e-01 2.050956982010536e-01
2.644591783863675e+01 2.385346410725837e-01 1.945125588572447e-01
2.653711065876998e+01 2.557647366077577e-01 1.832634180017035e-01
2.662830347890321e+01 2.719405726128564e-01 1.713996345112255e-01
2.671949629903644e+01 2.870084648126252e-01 1.589731886541682e-01
2.681068911916967e+01 3.009194846997870e-01 1.460363503613012e-01
2.690188193930290e+01 3.136294727382761e-01 1.326413981805865e-01
2.699307475943613e+01 3.250990283493773e-01 1.188403913873356e-01
2.708426757956936e+01 3.352934815686228e-01 1.046849958288410e-01
2.717546039970259e+01 3.441828512315505e-01 9.022636229325420e-02
2.726665321983582e+01 3.517417943600211e-01 7.551505455309585e-02
2.735784603996905e+01 3.579495510931122e-01 6.060102277981309e-02
2.744903886010228e+01 3.627898890557776e-01 4.553361678204015e-02
2.754023168023551e+01 3.662510505043970e-01 3.036163250202025e-02
2.763142450036874e+01 3.683257049520342e-01 1.513338441958881e-02
2.772261732050197e+01 3.690109092790278e-01 -1.032040372958493e-04
2.781381014063520e+01 3.683080765977452e-01 -1.530050029511285e-02
2.790500296076843e+01 3.662229543848532e-01 -3.041106096267395e-02
2.799619578090166e+01 3.627656116405458e-01 -4.538753687072069e-02
2.808738860103489e+01 3.579504341013861e-01 -6.018259267379610e-02
2.817858142116812e+01 3.517961258404729e-01 -7.474884832853444e-02
2.826977424130135e+01 3.443257149533857e-01 -8.903884903555430e-02
2.836096706143458e+01 3.355665604676575e-01 -1.030050693260720e-01
2.845215988156781e+01 3.255503571431131e-01 -1.165999559026878e-01
2.854335270170104e+01 3.143131344646550e-01 -1.297760126231485e-01
2.863454552183427e+01 3.018952458806708e-01 -1.424859296670047e-01
2.872573834196750e+01 2.883413442197080e-01 -1.546827574738753e-01
2.881693116210073e+01 2.737003392333673e-01 -1.663201245203161e-01
2.890812398223396e+01 2.580253333692168e-01 -1.773524964482069e-01
2.899931680236719e+01 2.413735321749278e-01 -1.877354725154695e-01
2.909050962250042e+01 2.238061261704277e-01 -1.974261138596250e-01
2.918170244263365e+01 2.053881415906065e-01 -2.063832967000957e-01
2.927289526276688e+01 1.861882580838941e-01 -2.145680824121085e-01
2.936408808290011e+01 1.662785922336802e-01 -2.219440954386877e-01
2.945528090303334e+01 1.457344466270250e-01 -2.284778993186947e-01
2.954647372316657e+01 1.246340251010064e-01 -2.341393607419107e-01
2.963766654329980e+01 1.030581157204559e-01 -2.389019915295788e-01
2.972885936343303e+01 8.108974394845182e-02 -2.427432587993801e-01
2.982005218356626e+01 5.881379932852043e-02 -2.456448543096261e-01
2.991124500369950e+01 3.631663977139925e-02 -2.475929150724561e-01
3.000243782383273e+01 1.368567819813836e-02 -2.485781887453231e-01
3.009363064396596e+01 -8.991043192076983e-03 -2.485961390016064e-01
3.018482346409919e+01 -3.162528540852567e-02 -2.476469879768589e-01
3.027601628423242e+01 -5.412904611581455e-02 -2.457356949069901e-01
3.036720910436565e+01 -7.641498826008830e-02 -2.428718721309971e-01
3.045840192449888e+01 -9.839685829266387e-02 -2.390696416335792e-01
3.054959474463211e+01 -1.199898887850162e-01 -2.343474371648158e-01
3.064078756476534e+01 -1.411111807651953e-01 -2.287277586156938e-01
3.073198038489857e+01 -1.616800617789716e-01 -2.222368866827224e-01
3.082317320503180e+01 -1.816184164606383e-01 -2.149045668711689e-01
3.091436602516503e+01 -2.008509872559786e-01 -2.067636725318175e-01
3.100555884529826e+01 -2.193056438388270e-01 -1.978498568869367e-01
3.109675166543149e+01 -2.369136206679534e-01 -1.882012038824120e-01
3.118794448556472e+01 -2.536097230089417e-01 -1.778578872269125e-01
3.127913730569795e+01 -2.693325025653190e-01 -1.668618461821632e-01
3.137033012583118e+01 -2.840244045972686e-01 -1.552564855987561e-01
3.146152294596441e+01 -2.976318890324498e-01 -1.430864064049532e-01
3.155271576609764e+01 -3.101055285746100e-01 -1.303971713110786e-01
3.164390858623087e+01 -3.214000871801693e-01 -1.172351089494724e-01
3.173510140636410e+01 -3.314745824945309e-01 -1.036471580874216e-01
3.182629422649733e+01 -3.402923359173552e-01 -8.968075198134362e-02
3.191748704663056e+01 -3.478210139028538e-01 -7.538374143207470e-02
3.200867986676379e+01 -3.540326639047593e-01 -6.080435369381806e-02
3.209987268689702e+01 -3.589037480567928e-01 -4.599118311648365e-02
